Month,Heater,Air conditioner
2005-01,6,10
2005-02,4,10
2005-03,3,12
2005-04,3,15
2005-05,3,24
2005-06,3,42
2005-07,3,33
2005-08,3,19
2005-09,4,11
2005-10,6,9
2005-11,7,9
2005-12,7,9
2006-01,5,9
2006-02,4,9
2006-03,3,11
2006-04,3,13
2006-05,3,20
2006-06,3,36
2006-07,3,52
2006-08,3,19
2006-09,3,10
2006-10,6,9
2006-11,6,9
2006-12,6,8
2007-01,5,10
2007-02,4,10
2007-03,3,13
2007-04,3,17
2007-05,4,28
2007-06,3,35
2007-07,3,29
2007-08,3,19
2007-09,3,12
2007-10,5,10
2007-11,7,10
2007-12,6,9
2008-01,6,10
2008-02,4,9
2008-03,3,11
2008-04,3,15
2008-05,3,20
2008-06,3,29
2008-07,3,27
2008-08,3,17
2008-09,4,11
2008-10,6,9
2008-11,7,9
2008-12,8,9
2009-01,7,10
2009-02,4,10
2009-03,3,12
2009-04,3,15
2009-05,3,20
2009-06,4,26
2009-07,3,28
2009-08,3,18
2009-09,4,11
2009-10,6,10
2009-11,6,13
2009-12,8,11
2010-01,7,12
2010-02,4,13
2010-03,3,13
2010-04,3,15
2010-05,3,20
2010-06,3,31
2010-07,3,50
2010-08,3,28
2010-09,3,13
2010-10,5,11
2010-11,7,11
2010-12,8,12
2011-01,6,12
2011-02,4,13
2011-03,3,13
2011-04,3,17
2011-05,3,23
2011-06,4,29
2011-07,3,31
2011-08,3,21
2011-09,3,13
2011-10,6,12
2011-11,7,10
2011-12,7,11
2012-01,6,11
2012-02,5,12
2012-03,3,14
2012-04,3,15
2012-05,3,21
2012-06,3,32
2012-07,3,40
2012-08,3,23
2012-09,4,14
2012-10,5,13
2012-11,7,12
2012-12,8,14
2013-01,7,12
2013-02,4,12
2013-03,4,13
2013-04,3,17
2013-05,3,25
2013-06,3,33
2013-07,4,37
2013-08,3,23
2013-09,4,14
2013-10,6,12
2013-11,8,13
2013-12,10,14
2014-01,8,18
2014-02,5,18
2014-03,4,14
2014-04,3,18
2014-05,4,26
2014-06,4,33
2014-07,3,34
2014-08,3,24
2014-09,4,15
2014-10,6,18
2014-11,10,14
2014-12,8,15
2015-01,8,22
2015-02,6,14
2015-03,4,15
2015-04,3,18
2015-05,4,27
2015-06,4,36
2015-07,4,57
2015-08,3,35
2015-09,4,20
2015-10,7,17
2015-11,8,16
2015-12,8,17
2016-01,9,17
2016-02,5,17
2016-03,4,19
2016-04,4,25
2016-05,4,33
2016-06,7,51
2016-07,4,46
2016-08,3,31
2016-09,4,20
2016-10,7,18
2016-11,9,17
2016-12,13,19
2017-01,10,20
2017-02,6,18
2017-03,5,21
2017-04,4,27
2017-05,5,36
2017-06,5,60
2017-07,5,61
2017-08,4,42
2017-09,5,25
2017-10,9,22
2017-11,13,20
2017-12,15,20
2018-01,13,20
2018-02,8,20
2018-03,6,23
2018-04,5,30
2018-05,5,45
2018-06,6,54
2018-07,5,78
2018-08,5,52
2018-09,6,26
2018-10,9,21
2018-11,13,23
2018-12,13,25
2019-01,12,28
2019-02,7,23
2019-03,5,23
2019-04,5,35
2019-05,5,44
2019-06,5,90
2019-07,6,70
2019-08,5,46
2019-09,6,32
2019-10,10,26
2019-11,14,27
2019-12,16,23
2020-01,11,25
2020-02,7,23
2020-03,5,23
2020-04,6,28
2020-05,8,57
2020-06,7,80
2020-07,7,75
2020-08,6,63
2020-09,8,34
2020-10,12,31
2020-11,15,25
2020-12,17,26
2021-01,15,27
2021-02,12,23
2021-03,7,27
2021-04,7,34
2021-05,7,51
2021-06,7,92
2021-07,7,84
2021-08,6,53
2021-09,7,31
2021-10,11,27
2021-11,14,27
2021-12,16,28
2022-01,19,34
2022-02,10,31
2022-03,7,37
2022-04,7,46
2022-05,9,53
2022-06,8,87
2022-07,6,90
2022-08,6,61
2022-09,9,39
2022-10,12,31
2022-11,17,31
2022-12,24,33
2023-01,17,32
2023-02,11,34
2023-03,7,33
2023-04,6,44
2023-05,7,59
2023-06,8,78
2023-07,6,100
2023-08,5,71
2023-09,6,49
2023-10,7,39
