Y20,Y152
40671,103880
53075,126331
76141,139227
118008,196868
162363,232397
215060,290503
262354,387609
293761,482969
307367,589066
350017,769908
491394,842643
652289,1204030
757907,1472301
793799,1506262
907200,1123711
1036816,1196018
982321,1034930
1056045,905056
1188949,1117103
1279695,1166381
1210972,1243173
1193964,1516260
1225369,1846591
1361535,1886097
1431172,2284242
1341600,1648913
1382000,2199910
1677071,2750216
1760595,2708145
1821100,2692061
1897330,1857810
2050100,1709280
2063700,1936240
2230450,2261290
2681700,2812550
2867490,2817600
3100420,2595340
3300970,2880770
3616870,3244070
4007700,3379535
3429325,3107408
3259398,3236384
2722668,3187525
